target,feature,in_source,in_target,used
InSDN,Packet_Length_Variance,True,True,True
InSDN,FIN_Flag_Count,True,True,True
InSDN,SYN_Flag_Count,True,True,True
InSDN,RST_Flag_Count,True,True,True
InSDN,PSH_Flag_Count,True,True,True
InSDN,ACK_Flag_Count,True,True,True
InSDN,URG_Flag_Count,True,True,True
InSDN,CWE_Flag_Count,True,True,True
InSDN,ECE_Flag_Count,True,True,True
InSDN,Down_Up_Ratio,True,True,True
InSDN,Average_Packet_Size,True,True,True
InSDN,Avg_Fwd_Segment_Size,True,True,True
InSDN,Avg_Bwd_Segment_Size,True,True,True
InSDN,Fwd_Header_Length_2,True,False,False
InSDN,Fwd_Avg_Bytes_Bulk,True,True,True
InSDN,Fwd_Avg_Packets_Bulk,True,True,True
InSDN,Fwd_Avg_Bulk_Rate,True,True,True
InSDN,Bwd_Avg_Bytes_Bulk,True,True,True
InSDN,Bwd_Avg_Packets_Bulk,True,True,True
InSDN,Bwd_Avg_Bulk_Rate,True,True,True
InSDN,Subflow_Fwd_Packets,True,True,True
InSDN,Subflow_Fwd_Bytes,True,True,True
InSDN,Subflow_Bwd_Packets,True,True,True
InSDN,Subflow_Bwd_Bytes,True,True,True
InSDN,Init_Win_bytes_forward,True,True,True
InSDN,Init_Win_bytes_backward,True,True,True
InSDN,act_data_pkt_fwd,True,True,True
InSDN,min_seg_size_forward,True,True,True
InSDN,Active_Mean,True,True,True
InSDN,Active_Std,True,True,True
InSDN,Active_Max,True,True,True
InSDN,Active_Min,True,True,True
InSDN,Idle_Mean,True,True,True
InSDN,Idle_Std,True,True,True
InSDN,Idle_Max,True,True,True
InSDN,Idle_Min,True,True,True
InSDN,Protocol,True,True,True
InSDN,Source_Port,True,True,True
InSDN,H_src_ip,True,True,True
InSDN,H_dst_ip,True,True,True
InSDN,H_dst_port,True,True,True
InSDN,H_proto,True,True,True
InSDN,H_pkt_len,True,True,True
InSDN,H_iat,True,True,True
InSDN,H_tcp_flags,True,True,True
InSDN,H_src_port,True,True,True
CICIDS2017_DDoS,Destination_Port,True,True,True
CICIDS2017_DDoS,Flow_Duration,True,True,True
CICIDS2017_DDoS,Total_Fwd_Packets,True,True,True
CICIDS2017_DDoS,Total_Backward_Packets,True,True,True
CICIDS2017_DDoS,Total_Length_of_Fwd_Packets,True,True,True
CICIDS2017_DDoS,Total_Length_of_Bwd_Packets,True,True,True
CICIDS2017_DDoS,Fwd_Packet_Length_Max,True,True,True
CICIDS2017_DDoS,Fwd_Packet_Length_Min,True,True,True
CICIDS2017_DDoS,Fwd_Packet_Length_Mean,True,True,True
CICIDS2017_DDoS,Fwd_Packet_Length_Std,True,True,True
CICIDS2017_DDoS,Bwd_Packet_Length_Max,True,True,True
CICIDS2017_DDoS,Bwd_Packet_Length_Min,True,True,True
CICIDS2017_DDoS,Bwd_Packet_Length_Mean,True,True,True
CICIDS2017_DDoS,Bwd_Packet_Length_Std,True,True,True
CICIDS2017_DDoS,Flow_Bytes_s,True,True,True
CICIDS2017_DDoS,Flow_Packets_s,True,True,True
CICIDS2017_DDoS,Flow_IAT_Mean,True,True,True
CICIDS2017_DDoS,Flow_IAT_Std,True,True,True
CICIDS2017_DDoS,Flow_IAT_Max,True,True,True
CICIDS2017_DDoS,Flow_IAT_Min,True,True,True
CICIDS2017_DDoS,Fwd_IAT_Total,True,True,True
CICIDS2017_DDoS,Fwd_IAT_Mean,True,True,True
CICIDS2017_DDoS,Fwd_IAT_Std,True,True,True
CICIDS2017_DDoS,Fwd_IAT_Max,True,True,True
CICIDS2017_DDoS,Fwd_IAT_Min,True,True,True
CICIDS2017_DDoS,Bwd_IAT_Total,True,True,True
CICIDS2017_DDoS,Bwd_IAT_Mean,True,True,True
CICIDS2017_DDoS,Bwd_IAT_Std,True,True,True
CICIDS2017_DDoS,Bwd_IAT_Max,True,True,True
CICIDS2017_DDoS,Bwd_IAT_Min,True,True,True
CICIDS2017_DDoS,Fwd_PSH_Flags,True,True,True
CICIDS2017_DDoS,Bwd_PSH_Flags,True,True,True
CICIDS2017_DDoS,Fwd_URG_Flags,True,True,True
CICIDS2017_DDoS,Bwd_URG_Flags,True,True,True
CICIDS2017_DDoS,Fwd_Header_Length,True,True,True
CICIDS2017_DDoS,Bwd_Header_Length,True,True,True
CICIDS2017_DDoS,Fwd_Packets_s,True,True,True
CICIDS2017_DDoS,Bwd_Packets_s,True,True,True
CICIDS2017_DDoS,Min_Packet_Length,True,True,True
CICIDS2017_DDoS,Max_Packet_Length,True,True,True
CICIDS2017_DDoS,Packet_Length_Mean,True,True,True
CICIDS2017_DDoS,Packet_Length_Std,True,True,True
CICIDS2017_DDoS,Packet_Length_Variance,True,True,True
CICIDS2017_DDoS,FIN_Flag_Count,True,True,True
CICIDS2017_DDoS,SYN_Flag_Count,True,True,True
CICIDS2017_DDoS,RST_Flag_Count,True,True,True
CICIDS2017_DDoS,PSH_Flag_Count,True,True,True
CICIDS2017_DDoS,ACK_Flag_Count,True,True,True
CICIDS2017_DDoS,URG_Flag_Count,True,True,True
CICIDS2017_DDoS,CWE_Flag_Count,True,True,True
CICIDS2017_DDoS,ECE_Flag_Count,True,True,True
CICIDS2017_DDoS,Down_Up_Ratio,True,True,True
CICIDS2017_DDoS,Average_Packet_Size,True,True,True
CICIDS2017_DDoS,Avg_Fwd_Segment_Size,True,True,True
CICIDS2017_DDoS,Avg_Bwd_Segment_Size,True,True,True
CICIDS2017_DDoS,Fwd_Header_Length_2,True,True,True
CICIDS2017_DDoS,Fwd_Avg_Bytes_Bulk,True,True,True
CICIDS2017_DDoS,Fwd_Avg_Packets_Bulk,True,True,True
CICIDS2017_DDoS,Fwd_Avg_Bulk_Rate,True,True,True
CICIDS2017_DDoS,Bwd_Avg_Bytes_Bulk,True,True,True
CICIDS2017_DDoS,Bwd_Avg_Packets_Bulk,True,True,True
CICIDS2017_DDoS,Bwd_Avg_Bulk_Rate,True,True,True
CICIDS2017_DDoS,Subflow_Fwd_Packets,True,True,True
CICIDS2017_DDoS,Subflow_Fwd_Bytes,True,True,True
CICIDS2017_DDoS,Subflow_Bwd_Packets,True,True,True
CICIDS2017_DDoS,Subflow_Bwd_Bytes,True,True,True
CICIDS2017_DDoS,Init_Win_bytes_forward,True,True,True
CICIDS2017_DDoS,Init_Win_bytes_backward,True,True,True
CICIDS2017_DDoS,act_data_pkt_fwd,True,True,True
CICIDS2017_DDoS,min_seg_size_forward,True,True,True
CICIDS2017_DDoS,Active_Mean,True,True,True
CICIDS2017_DDoS,Active_Std,True,True,True
CICIDS2017_DDoS,Active_Max,True,True,True
CICIDS2017_DDoS,Active_Min,True,True,True
CICIDS2017_DDoS,Idle_Mean,True,True,True
CICIDS2017_DDoS,Idle_Std,True,True,True
CICIDS2017_DDoS,Idle_Max,True,True,True
CICIDS2017_DDoS,Idle_Min,True,True,True
CICIDS2017_DDoS,Protocol,True,False,False
CICIDS2017_DDoS,Source_Port,True,False,False
CICIDS2017_DDoS,H_src_ip,True,False,False
CICIDS2017_DDoS,H_dst_ip,True,False,False
CICIDS2017_DDoS,H_dst_port,True,True,True
CICIDS2017_DDoS,H_proto,True,False,False
CICIDS2017_DDoS,H_pkt_len,True,True,True
CICIDS2017_DDoS,H_iat,True,True,True
CICIDS2017_DDoS,H_tcp_flags,True,True,True
CICIDS2017_DDoS,H_src_port,True,False,False
